Weight	Length Humerus	Total Length	Length Tibiotarsus
25.3	0.729	156	1.152
22.6	0.705	154	1.103
25.1	0.724	153	1.123
23.2	0.698	153	1.132
24.4	0.734	155	1.17
25.1	0.748	163	1.166
24.6	0.726	157	1.175
24	0.732	155	1.175
24.2	0.752	164	1.201
24.9	0.741	158	1.091
24.1	0.733	158	1.107
24	0.731	160	1.152
26	0.758	161	1.154
24.9	0.752	157	1.186
25.5	0.712	157	1.132
23.4	0.708	156	1.123
25.9	0.729	158	1.146
24.2	0.715	153	1.116
24.2	0.727	155	1.12
27.4	0.732	163	1.163
24	0.709	159	1.129
26.3	0.709	155	1.125
25.8	0.715	156	1.127
26	0.74	160	1.157
23.2	0.676	152	1.048
26.5	0.741	160	1.187
24.2	0.727	155	1.118
26.9	0.766	157	1.227
27.7	0.78	165	1.195
23.9	0.68	153	1.042
26.1	0.709	162	1.092
24.6	0.741	162	1.162
23.6	0.727	159	1.129
26	0.711	159	1.098
25	0.73	155	1.127
24.8	0.752	162	1.18
22.8	0.682	152	1.042
24.8	0.717	159	1.09
24.6	0.706	155	1.102
30.5	0.767	163	1.207
24.8	0.713	163	1.128
23.9	0.718	156	1.09
24.7	0.726	159	1.145
26.9	0.751	161	1.142
22.6	0.695	155	1.119
26.1	0.751	162	1.157
24.8	0.732	153	1.172
26.2	0.728	162	1.102
26.1	0.739	164	1.159
